State,count
ANDHRA PRADESH,51
MAHARASHTRA,15
DELHI,9
GUJARAT,7
TELANGANA,5
UTTAR PRADESH,5
KARNATAKA,5
CHANDIGARH,3
TAMIL NADU,2
TRIPURA,1
ODISHA,1
GOA,1
ANDAMAN AND NICOBAR ISLANDS,0
MIZORAM,0
NAGALAND,0
PUDUCHERRY,0
HARYANA,0
MANIPUR,0
LAKSHADWEEP,0
JAMMU AND KASHMIR,0
ARUNACHAL PRADESH,0
BIHAR,0
HIMACHAL PRADESH,0
MEGHALAYA,0
DAMAN AND DIU,0
CHHATTISGARH,0
JAMMU & KASHMIR,0
JHARKHAND,0
UTTARAKHAND,0
MADHYA PRADESH,0
PUNJAB,0
ASSAM,0
KERALA,0
WEST BENGAL,0
SIKKIM,0
DADRA AND NAGAR HAVELI,0
RAJASTHAN,0
