State,count
MAHARASHTRA,18
GUJARAT,7
PUNJAB,4
DELHI,4
UTTARAKHAND,4
MADHYA PRADESH,2
KARNATAKA,2
CHANDIGARH,2
ANDHRA PRADESH,2
HIMACHAL PRADESH,1
UTTAR PRADESH,1
RAJASTHAN,1
TAMIL NADU,1
CHHATTISGARH,1
BIHAR,0
MEGHALAYA,0
ANDAMAN AND NICOBAR ISLANDS,0
ODISHA,0
PUDUCHERRY,0
ASSAM,0
GOA,0
JHARKHAND,0
TELANGANA,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
KERALA,0
DAMAN AND DIU,0
ARUNACHAL PRADESH,0
WEST BENGAL,0
NAGALAND,0
HARYANA,0
MANIPUR,0
TRIPURA,0
SIKKIM,0
JAMMU AND KASHMIR,0
LAKSHADWEEP,0
