State,count
BIHAR,6
KARNATAKA,5
DELHI,4
GUJARAT,3
UTTARAKHAND,2
TAMIL NADU,1
WEST BENGAL,1
PUDUCHERRY,1
ASSAM,1
PUNJAB,1
ANDHRA PRADESH,0
LAKSHADWEEP,0
TRIPURA,0
NAGALAND,0
MIZORAM,0
ARUNACHAL PRADESH,0
ODISHA,0
HARYANA,0
MANIPUR,0
GOA,0
JAMMU AND KASHMIR,0
MAHARASHTRA,0
TELANGANA,0
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
CHANDIGARH,0
MEGHALAYA,0
DAMAN AND DIU,0
CHHATTISGARH,0
JAMMU & KASHMIR,0
JHARKHAND,0
MADHYA PRADESH,0
KERALA,0
SIKKIM,0
DADRA AND NAGAR HAVELI,0
UTTAR PRADESH,0
RAJASTHAN,0
