State,count
DELHI,37
WEST BENGAL,19
JHARKHAND,17
ASSAM,12
CHHATTISGARH,10
UTTAR PRADESH,10
MADHYA PRADESH,7
ODISHA,7
MAHARASHTRA,6
KERALA,4
HIMACHAL PRADESH,4
PUNJAB,3
GOA,3
GUJARAT,2
HARYANA,2
KARNATAKA,2
NAGALAND,2
UTTARAKHAND,1
TAMIL NADU,1
ANDHRA PRADESH,1
BIHAR,1
RAJASTHAN,0
ANDAMAN AND NICOBAR ISLANDS,0
TELANGANA,0
PUDUCHERRY,0
ARUNACHAL PRADESH,0
TRIPURA,0
MEGHALAYA,0
MANIPUR,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
JAMMU AND KASHMIR,0
DAMAN AND DIU,0
CHANDIGARH,0
SIKKIM,0
LAKSHADWEEP,0
