State,count
DELHI,96
GUJARAT,29
BIHAR,21
HARYANA,14
UTTAR PRADESH,12
PUNJAB,12
ANDHRA PRADESH,12
KARNATAKA,12
JHARKHAND,11
ASSAM,10
WEST BENGAL,9
MAHARASHTRA,8
KERALA,8
JAMMU AND KASHMIR,7
PUDUCHERRY,7
TRIPURA,7
RAJASTHAN,7
MANIPUR,6
HIMACHAL PRADESH,6
ODISHA,6
JAMMU & KASHMIR,6
MEGHALAYA,6
NAGALAND,6
MADHYA PRADESH,6
TAMIL NADU,5
ARUNACHAL PRADESH,4
MIZORAM,4
SIKKIM,4
UTTARAKHAND,2
CHHATTISGARH,2
CHANDIGARH,1
GOA,1
DADRA AND NAGAR HAVELI,0
DAMAN AND DIU,0
LAKSHADWEEP,0
ANDAMAN AND NICOBAR ISLANDS,0
TELANGANA,0
