State,count
DELHI,41
ODISHA,10
MADHYA PRADESH,7
RAJASTHAN,7
ASSAM,7
BIHAR,7
HARYANA,6
UTTARAKHAND,6
UTTAR PRADESH,5
CHHATTISGARH,5
HIMACHAL PRADESH,4
NAGALAND,4
GUJARAT,3
ANDHRA PRADESH,3
JAMMU & KASHMIR,2
JAMMU AND KASHMIR,2
GOA,1
KERALA,1
CHANDIGARH,1
TAMIL NADU,1
MAHARASHTRA,1
PUNJAB,1
JHARKHAND,1
KARNATAKA,1
WEST BENGAL,1
MANIPUR,0
ARUNACHAL PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
PUDUCHERRY,0
TELANGANA,0
TRIPURA,0
SIKKIM,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
MEGHALAYA,0
DAMAN AND DIU,0
LAKSHADWEEP,0
