State,count
RAJASTHAN,14
MAHARASHTRA,6
DELHI,3
ODISHA,3
KARNATAKA,2
GUJARAT,2
UTTARAKHAND,1
CHANDIGARH,1
CHHATTISGARH,1
ASSAM,0
GOA,0
PUDUCHERRY,0
HIMACHAL PRADESH,0
UTTAR PRADESH,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
ANDAMAN AND NICOBAR ISLANDS,0
KERALA,0
DAMAN AND DIU,0
TAMIL NADU,0
LAKSHADWEEP,0
NAGALAND,0
HARYANA,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
PUNJAB,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
TELANGANA,0
JHARKHAND,0
MADHYA PRADESH,0
