State,count
MAHARASHTRA,14
GUJARAT,12
RAJASTHAN,11
CHHATTISGARH,11
ANDHRA PRADESH,9
KARNATAKA,9
MADHYA PRADESH,5
DELHI,5
ODISHA,5
TAMIL NADU,3
HARYANA,2
WEST BENGAL,1
PUNJAB,1
UTTAR PRADESH,1
MANIPUR,0
GOA,0
MIZORAM,0
ARUNACHAL PRADESH,0
JAMMU AND KASHMIR,0
NAGALAND,0
PUDUCHERRY,0
TRIPURA,0
LAKSHADWEEP,0
TELANGANA,0
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
CHANDIGARH,0
MEGHALAYA,0
DAMAN AND DIU,0
JAMMU & KASHMIR,0
JHARKHAND,0
UTTARAKHAND,0
ASSAM,0
KERALA,0
SIKKIM,0
DADRA AND NAGAR HAVELI,0
BIHAR,0
