State,count
HIMACHAL PRADESH,5
MADHYA PRADESH,4
SIKKIM,4
ASSAM,3
GOA,3
DELHI,3
MEGHALAYA,2
PUDUCHERRY,2
JAMMU & KASHMIR,2
MAHARASHTRA,2
TAMIL NADU,2
BIHAR,1
ANDHRA PRADESH,1
WEST BENGAL,1
HARYANA,1
UTTARAKHAND,1
GUJARAT,1
UTTAR PRADESH,1
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
ODISHA,0
JHARKHAND,0
KARNATAKA,0
CHHATTISGARH,0
TELANGANA,0
MIZORAM,0
KERALA,0
ARUNACHAL PRADESH,0
PUNJAB,0
DAMAN AND DIU,0
CHANDIGARH,0
NAGALAND,0
MANIPUR,0
RAJASTHAN,0
JAMMU AND KASHMIR,0
TRIPURA,0
LAKSHADWEEP,0
