State,count
GUJARAT,76
RAJASTHAN,17
MAHARASHTRA,11
GOA,2
DELHI,1
CHHATTISGARH,1
KERALA,1
TAMIL NADU,1
ANDHRA PRADESH,1
PUDUCHERRY,0
LAKSHADWEEP,0
TRIPURA,0
ARUNACHAL PRADESH,0
NAGALAND,0
ANDAMAN AND NICOBAR ISLANDS,0
MIZORAM,0
HARYANA,0
MANIPUR,0
JAMMU AND KASHMIR,0
ODISHA,0
TELANGANA,0
HIMACHAL PRADESH,0
CHANDIGARH,0
MEGHALAYA,0
DAMAN AND DIU,0
JAMMU & KASHMIR,0
JHARKHAND,0
UTTARAKHAND,0
KARNATAKA,0
MADHYA PRADESH,0
PUNJAB,0
ASSAM,0
WEST BENGAL,0
SIKKIM,0
DADRA AND NAGAR HAVELI,0
UTTAR PRADESH,0
BIHAR,0
