State,count
RAJASTHAN,49
DELHI,30
BIHAR,9
CHHATTISGARH,7
GUJARAT,6
UTTARAKHAND,5
UTTAR PRADESH,4
HARYANA,3
HIMACHAL PRADESH,1
TELANGANA,1
PUNJAB,0
JAMMU AND KASHMIR,0
GOA,0
MANIPUR,0
SIKKIM,0
MIZORAM,0
ARUNACHAL PRADESH,0
ANDHRA PRADESH,0
NAGALAND,0
PUDUCHERRY,0
TRIPURA,0
TAMIL NADU,0
LAKSHADWEEP,0
ASSAM,0
ODISHA,0
ANDAMAN AND NICOBAR ISLANDS,0
DADRA AND NAGAR HAVELI,0
CHANDIGARH,0
MEGHALAYA,0
DAMAN AND DIU,0
WEST BENGAL,0
JAMMU & KASHMIR,0
JHARKHAND,0
KERALA,0
KARNATAKA,0
MADHYA PRADESH,0
MAHARASHTRA,0
