State,count
GUJARAT,26
SIKKIM,12
MAHARASHTRA,8
TAMIL NADU,4
DELHI,2
PUNJAB,1
HARYANA,1
GOA,0
ASSAM,0
UTTAR PRADESH,0
UTTARAKHAND,0
DADRA AND NAGAR HAVELI,0
PUDUCHERRY,0
JAMMU & KASHMIR,0
HIMACHAL PRADESH,0
KERALA,0
ANDAMAN AND NICOBAR ISLANDS,0
DAMAN AND DIU,0
CHANDIGARH,0
MIZORAM,0
LAKSHADWEEP,0
NAGALAND,0
MANIPUR,0
RAJASTHAN,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
TELANGANA,0
CHHATTISGARH,0
KARNATAKA,0
JHARKHAND,0
ODISHA,0
MADHYA PRADESH,0
