State,count
GOA,247
RAJASTHAN,40
KARNATAKA,25
ODISHA,21
GUJARAT,13
DELHI,12
TAMIL NADU,7
CHHATTISGARH,6
PUNJAB,6
ANDHRA PRADESH,2
DADRA AND NAGAR HAVELI,2
MAHARASHTRA,2
UTTARAKHAND,1
MADHYA PRADESH,1
JHARKHAND,1
BIHAR,0
WEST BENGAL,0
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
PUDUCHERRY,0
ASSAM,0
TELANGANA,0
ARUNACHAL PRADESH,0
UTTAR PRADESH,0
MIZORAM,0
JAMMU & KASHMIR,0
JAMMU AND KASHMIR,0
KERALA,0
DAMAN AND DIU,0
CHANDIGARH,0
TRIPURA,0
NAGALAND,0
HARYANA,0
MANIPUR,0
MEGHALAYA,0
SIKKIM,0
LAKSHADWEEP,0
