State,count
DELHI,60
KERALA,19
HARYANA,18
PUNJAB,12
KARNATAKA,6
RAJASTHAN,6
MADHYA PRADESH,5
GUJARAT,5
UTTARAKHAND,4
WEST BENGAL,4
BIHAR,4
MAHARASHTRA,3
ASSAM,3
TAMIL NADU,3
ANDHRA PRADESH,3
ODISHA,3
HIMACHAL PRADESH,2
UTTAR PRADESH,2
CHANDIGARH,2
JAMMU AND KASHMIR,1
GOA,1
JHARKHAND,1
CHHATTISGARH,1
JAMMU & KASHMIR,1
TELANGANA,0
DAMAN AND DIU,0
DADRA AND NAGAR HAVELI,0
MIZORAM,0
ARUNACHAL PRADESH,0
NAGALAND,0
TRIPURA,0
MANIPUR,0
MEGHALAYA,0
PUDUCHERRY,0
SIKKIM,0
ANDAMAN AND NICOBAR ISLANDS,0
LAKSHADWEEP,0
