Company Name,14CSR expenditure to be incurred as per Companies Act 2013,14Amount spent on CSR activities during the year,CSR amount unspent14,Fraction CSR Spent14,15CSR expenditure to be incurred as per Companies Act 2013,15Amount spent on CSR activities during the year,CSR amount unspent15,Fraction CSR Spent15,16CSR expenditure to be incurred as per Companies Act 2013,16Amount spent on CSR activities during the year,CSR amount unspent16,Fraction CSR Spent16,17CSR expenditure to be incurred as per Companies Act 2013,17Amount spent on CSR activities during the year,CSR amount unspent17,Fraction CSR Spent17,18CSR expenditure to be incurred as per Companies Act 2013,18Amount spent on CSR activities during the year,CSR amount unspent18,Fraction CSR Spent18
Adani Ports & Special Economic Zone Ltd.,357.9,359,-1.1,1.0030734842,404,408.1,-4.1,1.0101485149,477.8,477.8,0,1,571.3,571.8,-0.5,1.0008751969,571.3,571.8,-0.5,1.0008751969
Asian Paints Ltd.,298.7,190.1,108.6,0.6364245062,337.5,344.4,-6.9,1.0204444444,398.8,478.4,-79.6,1.1995987964,464.3,465.1,-0.8,1.0017230239,464.3,465.1,-0.8,1.0017230239
Axis Bank Ltd.,1337.7,1232.2,105.5,0.9211332885,1630.3,1374.1,256.2,0.842851009,1964.4,1353.9,610.5,0.6892180819,1868.2,1337.7,530.5,0.7160368269,1868.2,1337.7,530.5,0.7160368269
Bajaj Auto Ltd.,863.3,429.1,434.2,0.497046218,864.6,867.2,-2.6,1.0030071709,949.1,949.8,-0.7,1.0007375408,998.3,1005.1,-6.8,1.0068115797,998.3,1005.1,-6.8,1.0068115797
Bajaj Finance Ltd.,165.3,58,107.3,0.350877193,213.1,213.6,-0.5,1.0023463163,283.7,283.8,-0.1,1.000352485,394,395.6,-1.6,1.0040609137,394,395.6,-1.6,1.0040609137
Bajaj Finserv Ltd.,14.8,10,4.8,0.6756756757,16,16.2,-0.2,1.0125,16.6,16.7,-0.1,1.0060240964,18.3,19,-0.7,1.0382513661,18.3,19,-0.7,1.0382513661
Bharat Petroleum Corpn. Ltd.,760.1,760.1,0,1,1126,1126,0,1,1591.4,1591.4,0,1,1833.3,1833.3,0,1,1833.3,1833.3,0,1
Bharti Airtel Ltd.,1400,411,989,0.2935714286,1890,534.7,1355.3,0.2829100529,2079,975.6,1103.4,0.4692640693,2146.3,278,1868.3,0.1295252295,2146.3,278,1868.3,0.1295252295
Bharti Infratel Ltd.,192,173,19,0.9010416667,255,209.4,45.6,0.8211764706,327,171.2,155.8,0.5235474006,400.1,211.6,188.5,0.5288677831,400.1,211.6,188.5,0.5288677831
Bosch Ltd.,,103.5,-103.5,#DIV/0!,292.4,197,95.4,0.6737346101,332,332.1,-0.1,1.0003012048,362,363,-1,1.0027624309,362,363,-1,1.0027624309
Britannia Industries Ltd.,73.5,73.5,0,1,104.6,104.6,0,1,158,158,0,1,201.4,221.4,-20,1.0993048659,201.4,221.4,-20,1.0993048659
Coal India Ltd.,240.4,247.2,-6.8,1.0282861897,196.9,732.6,-535.7,3.7206703911,136.5,1280.5,-1144,9.380952381,78.8,243.1,-164.3,3.0850253807,78.8,243.1,-164.3,3.0850253807
Dabur India Ltd.,146.6,147.1,-0.5,1.0034106412,172.5,174.4,-1.9,1.0110144928,203.4,203.7,-0.3,1.0014749263,229.4,237.6,-8.2,1.0357454228,229.4,237.6,-8.2,1.0357454228
G A I L (India) Ltd.,1186.7,413.6,773.1,0.3485295357,1023.4,1186.4,-163,1.1592730115,814.7,921.6,-106.9,1.1312139438,696.7,916.5,-219.8,1.3154872973,696.7,916.5,-219.8,1.3154872973
Godrej Consumer Products Ltd.,124.1,160.8,-36.7,1.2957292506,142.2,145.7,-3.5,1.0246132208,163.8,165.2,-1.4,1.0085470085,188.3,188.8,-0.5,1.0026553372,188.3,188.8,-0.5,1.0026553372
H C L Technologies Ltd.,899.9,61.7,838.2,0.0685631737,1221.3,105.2,1116.1,0.0861377221,1291.6,385.2,906.4,0.2982347476,1343.3,912.2,431.1,0.6790739224,1343.3,912.2,431.1,0.6790739224
H D F C Bank Ltd.,1971.3,1185.5,785.8,0.6013798001,2480,1948.1,531.9,0.7855241935,3040,3054.2,-14.2,1.0046710526,3650,3740,-90,1.0246575342,3650,3740,-90,1.0246575342
