,meanHQ,meanER,Month,TITAN COMPANY LIMITEDHQ,WIPRO LTD.ER,NTPC LTD.ER,MAHINDRA & MAHINDRA LTD.ER_x,ASIAN PAINTS LTD.ER,LARSEN & TOUBRO LTD.ER,BRITANNIA INDUSTRIES LTD.ER,POWER GRID CORPORATION OF INDIA LTD.ER,GODREJ CONSUMER PRODUCTS LTD.ER,MAHINDRA & MAHINDRA LTD.ER_y,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,TATA CONSULTANCY SERVICES LTD.ER,RELIANCE INDUSTRIES LTD.ER,COAL INDIA LTD.ER
0,-9.32,-3.467327670351752,February-2014,-9.32,-3.79,10.92,-9.32,-0.15,-12.47,-0.47,0.94,-5.08,-9.32,-3.56,-7.77,-1.64,3.8,1.41
1,-8.36,-8.276282572809246,March-2014,-8.36,9.07,-6.53,-0.74,-15.55,-14.83,4.94,-11.05,-7.91,-0.74,-26.1,-18.97,6.36,-16.3,-17.99
2,2.93,0.6437190881052067,April-2014,2.93,3.8,3.08,-9.33,7.57,-1.8,-2.32,-0.67,6.33,-9.33,4.43,7.36,-2.87,-0.62,-1.32
3,-21.98,-13.12281107840628,May-2014,-21.98,3.26,-37.51,-14.77,-0.85,-19.56,-1.95,-15.13,2.5,-14.77,-11.45,-17.6,2.06,-13.88,-27.24
4,-13.48,-6.7513202176873435,June-2014,-13.48,-7.91,2.47,6.71,-16.34,-9.86,-14.45,-14.29,-5.97,6.71,-6.99,-9.0,-12.84,4.74,-3.81
5,3.29,0.34030608286100955,July-2014,3.29,0.24,6.99,-4.88,-6.15,11.61,-13.63,4.6,-2.09,-4.88,1.89,6.83,-6.52,0.86,4.24
6,-6.42,-4.592872122007956,August-2014,-6.42,-4.0,5.03,-16.86,0.79,-1.52,-8.92,2.6,-17.16,-16.86,-4.17,-5.16,2.04,0.67,3.4
7,-12.32,-2.866748071731841,September-2014,-12.32,-5.47,-0.69,3.17,-0.84,4.55,-12.09,-4.64,0.08,3.17,-6.07,-3.07,-8.46,5.39,4.22
8,3.54,-2.617431636381222,October-2014,3.54,5.52,-8.15,4.32,-4.25,-13.54,-9.61,-7.39,1.77,4.32,-16.1,2.81,4.88,-5.7,-8.2
9,5.89,-0.36724066559807644,November-2014,5.89,-3.91,4.9,-1.56,-13.34,0.89,-7.73,2.17,1.6,-1.56,-4.55,2.4,-1.48,0.84,3.95
10,-3.03,0.0332515908762821,December-2014,-3.03,5.41,-1.05,6.74,-1.08,8.76,-11.57,2.88,-1.87,6.74,-6.79,-7.28,3.34,10.06,-8.17
11,-12.93,-6.712857335432784,January-2015,-12.93,-9.48,0.21,-2.31,-14.06,-13.61,-2.63,-7.17,-9.43,-2.31,-8.53,-17.54,2.88,-2.72,5.97
12,2.33,-3.505104150021524,February-2015,2.33,-8.73,-8.31,-2.26,4.56,-3.93,-10.87,-6.02,-6.54,-2.26,-5.16,0.08,-7.83,5.36,-9.15
13,6.78,5.344142063221268,March-2015,6.78,4.77,5.39,8.08,1.17,2.71,-3.09,7.43,7.98,8.08,3.65,8.36,4.79,4.8,7.99
14,2.35,2.8732774920404944,April-2015,2.35,14.22,-2.0,3.54,5.67,5.03,-1.61,2.0,-1.6,3.54,6.63,7.27,3.16,-4.63,-0.17
15,1.38,-4.157570932416093,May-2015,1.38,-4.28,9.05,-10.05,-3.16,-1.4,-16.22,-0.98,0.7,-10.05,-6.16,-11.65,-5.84,-1.66,-7.8
16,3.01,-2.5152298232124917,June-2015,3.01,3.11,-0.8,-1.67,4.14,-7.7,-8.41,3.2,-17.21,-1.67,0.3,-0.5,2.24,-14.06,-7.6
17,11.55,-3.540395490537292,July-2015,11.55,-4.59,2.1,-6.28,-16.83,-0.38,-14.22,-1.76,-11.35,-6.28,-12.1,-5.29,1.65,-0.12,-4.33
18,-4.29,6.342107653337309,August-2015,-4.29,-0.4,10.04,10.18,3.73,10.3,7.2,7.7,2.59,10.18,12.35,7.99,-2.2,14.46,16.61
19,5.8,1.0939047016045595,September-2015,5.8,-4.5,-1.98,-3.09,0.88,8.63,-5.26,-1.15,8.93,-3.09,-9.96,7.53,-0.88,-0.43,10.88
20,-9.6,-1.2474361045602633,October-2015,-9.6,3.99,-7.23,6.2,1.47,3.79,-4.68,2.57,-3.95,6.2,3.3,-7.61,3.49,-10.15,2.02
21,-9.55,-2.5764956856710497,November-2015,-9.55,0.1,1.28,-15.62,-1.42,2.63,9.39,-5.59,2.69,-15.62,-2.45,2.66,5.29,-2.13,-3.38
22,9.24,0.17276819678748287,December-2015,9.24,2.25,-11.37,7.0,-5.16,7.16,-1.36,-3.86,-7.23,7.0,-3.78,0.78,-3.13,-4.61,0.6
23,-4.96,1.9446601162998045,January-2016,-4.96,-0.25,2.54,3.06,1.7,13.6,9.48,-4.53,7.17,3.06,4.32,-1.47,1.97,-2.22,2.63
24,13.07,6.088461855799518,February-2016,13.07,7.36,15.82,0.48,2.34,2.08,-2.82,11.86,2.88,0.48,10.36,2.09,8.75,6.62,2.77
25,-7.1,-7.095357867364278,March-2016,-7.1,-8.36,-7.6,1.4,-2.37,-12.69,3.01,-6.92,-16.01,1.4,-16.46,-16.62,-15.31,-8.14,6.17
26,-4.9,-2.779229655141711,April-2016,-4.9,1.71,-7.76,-10.09,0.07,-3.07,-6.79,-3.13,4.11,-10.09,-8.43,2.0,-0.56,6.0,1.68
27,-1.07,-3.3742156282974016,May-2016,-1.07,1.35,-3.21,0.53,-13.36,-17.61,5.29,-4.57,-12.4,0.53,-5.18,-2.12,-1.78,2.4,-1.58
28,-12.67,-5.498311800363026,June-2016,-12.67,-2.22,-9.18,-7.87,-1.99,-1.49,-1.88,-8.63,-7.79,-7.87,-0.64,-5.65,0.94,-1.09,-7.37
29,-3.55,-4.181430738053243,July-2016,-3.55,2.34,-1.31,-2.66,-11.06,-4.13,-6.28,-7.95,0.69,-2.66,-6.06,-8.61,-2.66,-4.75,-4.74
30,0.21,-1.0259040820595091,August-2016,0.21,10.05,-0.5,1.97,-4.0,2.83,-17.88,-4.6,4.45,1.97,-0.59,-8.73,4.05,-4.19,-1.72
31,5.38,2.497972412488848,September-2016,5.38,2.62,6.75,2.23,-0.25,5.43,2.52,4.16,-4.19,2.23,-0.96,4.25,3.4,-2.28,3.33
32,3.49,1.6415823004310273,October-2016,3.49,2.65,-1.85,6.25,7.46,-3.14,1.61,0.79,-1.23,6.25,0.14,-2.94,1.34,2.86,-1.07
