,meanHQ,meanER,Month,SHREE CEMENT LTD.HQ,HINDUSTAN ZINC LTD.HQ,BOSCH LTD.ER_x,HERO MOTOCORP LTD.ER,BHARTI AIRTEL LTD.ER,VEDANTA LIMITEDER_x,BAJAJ AUTO LTD.ER,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,BAJAJ FINSERV LTD.ER_x,BAJAJ FINANCE LIMITEDER,STATE BANK OF INDIAER_x,ICICI BANK LTD.ER_x,POWER GRID CORPORATION OF INDIA LTD.ER,TATA STEEL LTD.ER_x,INDIAN OIL CORPORATION LTD.ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.ER_x,TATA STEEL LTD.ER_y,JSW STEEL LTD.ER_x,COAL INDIA LTD.ER_x,BAJAJ FINSERV LTD.ER_y,HOUSING DEVELOPMENT FINANCE CORP.LTD.ER_x,DABUR INDIA LTD.ER_x,NTPC LTD.ER_x,HCL TECHNOLOGIES LTD.ER_x,HCL TECHNOLOGIES LTD.ER_y,DABUR INDIA LTD.ER_y,NTPC LTD.ER_y,HCL TECHNOLOGIES LTD.ER_x,DABUR INDIA LTD.ER,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER_y,TATA STEEL LTD.ER_x,JSW STEEL LTD.ER_y,COAL INDIA LTD.ER_y,BOSCH LTD.ER_y,WIPRO LTD.ER_x,INFOSYS LTD.ER_x,BHARTI INFRATEL LTD.ER_x,HCL TECHNOLOGIES LTD.ER_x,MARUTI SUZUKI INDIA LTD.ER_x,TATA STEEL LTD.ER_y,PIDILITE INDUSTRIES LTD.ER_x,VEDANTA LIMITEDER_y,JSW STEEL LTD.ER_x,GODREJ CONSUMER PRODUCTS LTD.ER_x,BHARAT PETROLEUM CORPORATION LTD.ER_x,ASIAN PAINTS LTD.ER_x,KOTAK MAHINDRA BANK LTD.ER_x,STATE BANK OF INDIAER_y,HOUSING DEVELOPMENT FINANCE CORP.LTD.ER_y,HINDUSTAN UNILEVER LTD.ER_x,RELIANCE INDUSTRIES LTD.ER_x,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.ER_y,SUN PHARMACEUTICAL INDUSTRIES LTD.ER_x,AXIS BANK LTD.ER_x,ICICI BANK LTD.ER_y,ITC LTD.ER_x,HINDUSTAN ZINC LTD.ER_x,BOSCH LTD.ER,WIPRO LTD.ER_y,INFOSYS LTD.ER_y,BHARTI INFRATEL LTD.ER_y,HCL TECHNOLOGIES LTD.ER_y,MARUTI SUZUKI INDIA LTD.ER_y,TATA STEEL LTD.ER,PIDILITE INDUSTRIES LTD.ER_y,VEDANTA LIMITEDER,JSW STEEL LTD.ER_y,GODREJ CONSUMER PRODUCTS LTD.ER_y,BHARAT PETROLEUM CORPORATION LTD.ER_y,ASIAN PAINTS LTD.ER_y,KOTAK MAHINDRA BANK LTD.ER_y,STATE BANK OF INDIAER,HOUSING DEVELOPMENT FINANCE CORP.LTD.ER,HINDUSTAN UNILEVER LTD.ER_y,RELIANCE INDUSTRIES LTD.ER_y,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.ER,SUN PHARMACEUTICAL INDUSTRIES LTD.ER_y,AXIS BANK LTD.ER_y,ICICI BANK LTD.ER,ITC LTD.ER_y,HINDUSTAN ZINC LTD.ER_y
0,-0.6300000000000002,-1.3295617409965776,February-2014,-5.87,9.85,-4.58,0.27,8.77,5.78,-2.1,-3.56,-7.77,-5.78,-2.86,-0.4,-5.58,0.94,3.4,-1.14,-14.12,3.4,4.73,1.41,-5.78,-1.28,-0.55,10.92,-7.6,-7.6,-0.55,10.92,-7.6,-0.55,10.92,-7.6,3.4,4.73,1.41,-4.58,-3.79,-3.26,-4.89,-7.6,3.0,3.4,-2.12,5.78,4.73,-5.08,-3.86,-0.15,-4.0,-0.4,-1.28,3.78,3.8,-14.12,-9.27,-13.07,-5.58,-0.74,9.85,-4.58,-3.79,-3.26,-4.89,-7.6,3.0,3.4,-2.12,5.78,4.73,-5.08,-3.86,-0.15,-4.0,-0.4,-1.28,3.78,3.8,-14.12,-9.27,-13.07,-5.58,-0.74,9.85
1,-17.0,-10.028462912677053,March-2014,-20.51,-9.98,-15.93,-15.66,-10.92,-5.83,-6.98,-26.1,-18.97,-9.8,-14.11,-25.24,-19.33,-11.05,-14.47,-12.45,-12.11,-14.47,-18.48,-17.99,-9.8,-8.0,-3.82,-6.53,11.77,11.77,-3.82,-6.53,11.77,-3.82,-6.53,11.77,-14.47,-18.48,-17.99,-15.93,9.07,14.17,-13.01,11.77,-24.28,-14.47,-6.63,-5.83,-18.48,-7.91,-21.89,-15.55,-13.88,-25.24,-8.0,-9.99,-16.3,-12.11,10.79,-15.37,-19.33,-7.77,-9.98,-15.93,9.07,14.17,-13.01,11.77,-24.28,-14.47,-6.63,-5.83,-18.48,-7.91,-21.89,-15.55,-13.88,-25.24,-8.0,-9.99,-16.3,-12.11,10.79,-15.37,-19.33,-7.77,-9.98
2,-0.59,-0.2523904722024638,April-2014,-0.77,-0.23,3.22,3.48,-2.74,1.52,7.93,4.43,7.36,-4.75,-4.71,-8.37,0.05,-0.67,-1.71,5.86,-0.43,-1.71,-4.56,-1.32,-4.75,-1.56,0.11,3.08,-0.95,-0.95,0.11,3.08,-0.95,0.11,3.08,-0.95,-1.71,-4.56,-1.32,3.22,3.8,3.1,-6.41,-0.95,2.71,-1.71,-4.14,1.52,-4.56,6.33,1.37,7.57,-3.25,-8.37,-1.56,6.09,-0.62,-0.43,-10.15,-4.02,0.05,3.46,-0.23,3.22,3.8,3.1,-6.41,-0.95,2.71,-1.71,-4.14,1.52,-4.56,6.33,1.37,7.57,-3.25,-8.37,-1.56,6.09,-0.62,-0.43,-10.15,-4.02,0.05,3.46,-0.23
3,-20.543333333333333,-12.443327521770073,May-2014,-19.74,-22.15,-17.17,-6.83,-4.99,-51.0,-2.07,-11.45,-17.6,-3.04,-7.82,-22.27,-13.95,-15.13,-18.57,-37.39,-19.94,-18.57,-11.95,-27.24,-3.04,2.33,-4.54,-37.51,-0.98,-0.98,-4.54,-37.51,-0.98,-4.54,-37.51,-0.98,-18.57,-11.95,-27.24,-17.17,3.26,7.42,-6.83,-0.98,-18.33,-18.57,4.81,-51.0,-11.95,2.5,-14.88,-0.85,-8.0,-22.27,2.33,-6.01,-13.88,-19.94,3.82,-20.86,-13.95,-0.22,-22.15,-17.17,3.26,7.42,-6.83,-0.98,-18.33,-18.57,4.81,-51.0,-11.95,2.5,-14.88,-0.85,-8.0,-22.27,2.33,-6.01,-13.88,-19.94,3.82,-20.86,-13.95,-0.22,-22.15
4,-6.376666666666666,-6.105216590947909,June-2014,-6.51,-6.11,-9.99,-12.09,2.06,-4.51,-18.43,-6.99,-9.0,-9.68,0.98,-5.67,-0.0,-14.29,-11.22,4.35,-7.81,-11.22,-2.11,-3.81,-9.68,-13.01,0.13,2.47,-5.59,-5.59,0.13,2.47,-5.59,0.13,2.47,-5.59,-11.22,-2.11,-3.81,-9.99,-7.91,-10.37,-10.22,-5.59,-7.44,-11.22,-7.68,-4.51,-2.11,-5.97,-14.92,-16.34,-2.03,-5.67,-13.01,-3.09,4.74,-7.81,-12.98,-4.64,-0.0,4.86,-6.11,-9.99,-7.91,-10.37,-10.22,-5.59,-7.44,-11.22,-7.68,-4.51,-2.11,-5.97,-14.92,-16.34,-2.03,-5.67,-13.01,-3.09,4.74,-7.81,-12.98,-4.64,-0.0,4.86,-6.11
5,-0.006666666666666672,-0.22387055096089073,July-2014,-1.57,3.12,1.12,1.19,-10.6,0.6,10.16,1.89,6.83,-0.84,-10.22,9.16,-3.85,4.6,-4.75,3.98,-7.06,-4.75,4.67,4.24,-0.84,-7.74,-10.39,6.99,-3.9,-3.9,-10.39,6.99,-3.9,-10.39,6.99,-3.9,-4.75,4.67,4.24,1.12,0.24,-3.67,-0.67,-3.9,-3.53,-4.75,-14.06,0.6,4.67,-2.09,3.1,-6.15,-7.74,9.16,-7.74,-10.65,0.86,-7.06,-15.22,79.61,-3.85,-9.63,3.12,1.12,0.24,-3.67,-0.67,-3.9,-3.53,-4.75,-14.06,0.6,4.67,-2.09,3.1,-6.15,-7.74,9.16,-7.74,-10.65,0.86,-7.06,-15.22,79.61,-3.85,-9.63,3.12
6,-5.420000000000001,-4.327307687779637,August-2014,-6.94,-2.38,-10.69,-0.47,0.78,4.55,-8.74,-4.17,-5.16,-11.32,-11.94,-0.85,-5.67,2.6,7.2,-8.28,-8.5,7.2,-5.61,3.4,-11.32,-0.61,-12.43,5.03,-4.85,-4.85,-12.43,5.03,-4.85,-12.43,5.03,-4.85,7.2,-5.61,3.4,-10.69,-4.0,-6.78,-2.34,-4.85,-10.29,7.2,-10.23,4.55,-5.61,-17.16,-19.56,0.79,-8.64,-0.85,-0.61,-8.13,0.67,-8.5,-8.08,-1.39,-5.67,0.29,-2.38,-10.69,-4.0,-6.78,-2.34,-4.85,-10.29,7.2,-10.23,4.55,-5.61,-17.16,-19.56,0.79,-8.64,-0.85,-0.61,-8.13,0.67,-8.5,-8.08,-1.39,-5.67,0.29,-2.38
7,-3.6366666666666667,0.1122923798785691,September-2014,-6.83,2.75,-1.32,-8.97,-9.35,1.66,-3.95,-6.07,-3.07,-7.56,-9.81,0.74,7.79,-4.64,10.56,-0.74,1.73,10.56,7.08,4.22,-7.56,1.98,4.39,-0.69,-5.21,-5.21,4.39,-0.69,-5.21,4.39,-0.69,-5.21,10.56,7.08,4.22,-1.32,-5.47,-4.28,-12.4,-5.21,-10.06,10.56,3.07,1.66,7.08,0.08,5.88,-0.84,2.18,0.74,1.98,-0.62,5.39,1.73,-0.32,4.91,7.79,-4.39,2.75,-1.32,-5.47,-4.28,-12.4,-5.21,-10.06,10.56,3.07,1.66,7.08,0.08,5.88,-0.84,2.18,0.74,1.98,-0.62,5.39,1.73,-0.32,4.91,7.79,-4.39,2.75
8,-7.789999999999999,-3.860071589785306,October-2014,-8.28,-6.81,0.8,-7.73,1.47,6.16,-11.07,-16.1,2.81,5.53,-3.23,-10.62,-13.25,-7.39,-6.54,-0.61,-2.37,-6.54,-8.97,-8.2,5.53,-5.07,-1.67,-8.15,6.42,6.42,-1.67,-8.15,6.42,-1.67,-8.15,6.42,-6.54,-8.97,-8.2,0.8,5.52,-8.11,0.71,6.42,-8.94,-6.54,-4.2,6.16,-8.97,1.77,-10.82,-4.25,-10.42,-10.62,-5.07,1.01,-5.7,-2.37,1.37,-16.13,-13.25,4.18,-6.81,0.8,5.52,-8.11,0.71,6.42,-8.94,-6.54,-4.2,6.16,-8.97,1.77,-10.82,-4.25,-10.42,-10.62,-5.07,1.01,-5.7,-2.37,1.37,-16.13,-13.25,4.18,-6.81
9,2.59,0.5833230262543202,November-2014,1.44,4.89,-27.28,-2.63,4.1,9.56,-1.17,-4.55,2.4,-7.8,-10.2,88.1,-7.95,2.17,3.28,-0.27,-2.02,3.28,4.66,3.95,-7.8,-4.9,-6.73,4.9,-3.54,-3.54,-6.73,4.9,-3.54,-6.73,4.9,-3.54,3.28,4.66,3.95,-27.28,-3.91,-7.6,-1.91,-3.54,0.07,3.28,-11.01,9.56,4.66,1.6,-2.99,-13.34,-7.43,88.1,-4.9,-6.53,0.84,-2.02,0.71,-9.64,-7.95,-2.18,4.89,-27.28,-3.91,-7.6,-1.91,-3.54,0.07,3.28,-11.01,9.56,4.66,1.6,-2.99,-13.34,-7.43,88.1,-4.9,-6.53,0.84,-2.02,0.71,-9.64,-7.95,-2.18,4.89
