State,count
DELHI,57
GUJARAT,51
ASSAM,39
ODISHA,16
HARYANA,16
UTTAR PRADESH,12
BIHAR,7
TAMIL NADU,6
WEST BENGAL,6
RAJASTHAN,5
ANDHRA PRADESH,5
MAHARASHTRA,5
PUNJAB,3
CHANDIGARH,2
HIMACHAL PRADESH,1
UTTARAKHAND,1
LAKSHADWEEP,1
MADHYA PRADESH,1
KARNATAKA,1
CHHATTISGARH,1
TELANGANA,1
MANIPUR,0
ANDAMAN AND NICOBAR ISLANDS,0
JHARKHAND,0
PUDUCHERRY,0
GOA,0
ARUNACHAL PRADESH,0
SIKKIM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
KERALA,0
DAMAN AND DIU,0
TRIPURA,0
MEGHALAYA,0
NAGALAND,0
JAMMU AND KASHMIR,0
MIZORAM,0
