State,count
DELHI,49
RAJASTHAN,22
HARYANA,17
BIHAR,3
ANDHRA PRADESH,3
PUNJAB,3
GUJARAT,3
UTTARAKHAND,3
ODISHA,2
WEST BENGAL,1
TAMIL NADU,1
GOA,0
ASSAM,0
DAMAN AND DIU,0
PUDUCHERRY,0
HIMACHAL PRADESH,0
UTTAR PRADESH,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU & KASHMIR,0
KERALA,0
LAKSHADWEEP,0
CHANDIGARH,0
NAGALAND,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
MAHARASHTRA,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
TELANGANA,0
CHHATTISGARH,0
KARNATAKA,0
JHARKHAND,0
MADHYA PRADESH,0
