State,count
RAJASTHAN,29
BIHAR,22
CHHATTISGARH,14
DELHI,12
HARYANA,8
UTTARAKHAND,5
UTTAR PRADESH,5
GUJARAT,4
WEST BENGAL,2
DADRA AND NAGAR HAVELI,0
DAMAN AND DIU,0
KERALA,0
JAMMU & KASHMIR,0
TAMIL NADU,0
MIZORAM,0
GOA,0
ASSAM,0
PUDUCHERRY,0
HIMACHAL PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
CHANDIGARH,0
LAKSHADWEEP,0
NAGALAND,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
MAHARASHTRA,0
ANDHRA PRADESH,0
PUNJAB,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
TELANGANA,0
KARNATAKA,0
JHARKHAND,0
ODISHA,0
MADHYA PRADESH,0
