State,count
DELHI,77
TRIPURA,53
GUJARAT,42
ASSAM,30
RAJASTHAN,22
KARNATAKA,12
GOA,11
JHARKHAND,8
ANDHRA PRADESH,8
MAHARASHTRA,7
ARUNACHAL PRADESH,5
KERALA,5
TAMIL NADU,4
CHANDIGARH,4
MADHYA PRADESH,3
WEST BENGAL,3
BIHAR,3
PUNJAB,2
HARYANA,2
LAKSHADWEEP,1
MANIPUR,1
HIMACHAL PRADESH,1
MEGHALAYA,1
TELANGANA,1
ANDAMAN AND NICOBAR ISLANDS,0
PUDUCHERRY,0
ODISHA,0
CHHATTISGARH,0
JAMMU AND KASHMIR,0
UTTAR PRADESH,0
MIZORAM,0
SIKKIM,0
JAMMU & KASHMIR,0
DAMAN AND DIU,0
UTTARAKHAND,0
NAGALAND,0
DADRA AND NAGAR HAVELI,0
