State,count
GOA,114
KARNATAKA,25
RAJASTHAN,22
ODISHA,21
DELHI,18
TAMIL NADU,11
PUNJAB,11
GUJARAT,11
CHHATTISGARH,5
MAHARASHTRA,5
DADRA AND NAGAR HAVELI,2
MADHYA PRADESH,2
JHARKHAND,1
HARYANA,1
UTTAR PRADESH,1
BIHAR,0
JAMMU & KASHMIR,0
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
PUDUCHERRY,0
ASSAM,0
TELANGANA,0
ARUNACHAL PRADESH,0
MIZORAM,0
WEST BENGAL,0
KERALA,0
ANDHRA PRADESH,0
DAMAN AND DIU,0
CHANDIGARH,0
UTTARAKHAND,0
NAGALAND,0
MANIPUR,0
TRIPURA,0
SIKKIM,0
JAMMU AND KASHMIR,0
MEGHALAYA,0
LAKSHADWEEP,0
