State,count
RAJASTHAN,28
GUJARAT,7
MAHARASHTRA,7
UTTARAKHAND,6
KARNATAKA,6
TAMIL NADU,4
GOA,2
ANDHRA PRADESH,2
JHARKHAND,2
BIHAR,1
PUDUCHERRY,0
ASSAM,0
DELHI,0
HIMACHAL PRADESH,0
CHANDIGARH,0
UTTAR PRADESH,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU & KASHMIR,0
KERALA,0
DAMAN AND DIU,0
LAKSHADWEEP,0
NAGALAND,0
HARYANA,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
PUNJAB,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
TELANGANA,0
CHHATTISGARH,0
ODISHA,0
MADHYA PRADESH,0
