State,count
DELHI,168
BIHAR,60
JHARKHAND,37
KERALA,23
UTTAR PRADESH,21
MAHARASHTRA,15
KARNATAKA,14
MADHYA PRADESH,13
ANDHRA PRADESH,12
TELANGANA,12
ODISHA,11
GUJARAT,10
TAMIL NADU,10
RAJASTHAN,9
HARYANA,9
UTTARAKHAND,8
WEST BENGAL,8
ASSAM,6
PUNJAB,5
CHHATTISGARH,5
HIMACHAL PRADESH,4
SIKKIM,3
TRIPURA,2
JAMMU AND KASHMIR,2
JAMMU & KASHMIR,1
MEGHALAYA,0
DADRA AND NAGAR HAVELI,0
MIZORAM,0
DAMAN AND DIU,0
ARUNACHAL PRADESH,0
CHANDIGARH,0
GOA,0
NAGALAND,0
PUDUCHERRY,0
MANIPUR,0
ANDAMAN AND NICOBAR ISLANDS,0
LAKSHADWEEP,0
