State,count
DELHI,53
HIMACHAL PRADESH,18
UTTAR PRADESH,11
UTTARAKHAND,11
WEST BENGAL,6
MAHARASHTRA,6
BIHAR,6
PUNJAB,6
ASSAM,5
RAJASTHAN,5
MADHYA PRADESH,4
ANDHRA PRADESH,4
ODISHA,3
TAMIL NADU,2
JAMMU & KASHMIR,1
JHARKHAND,1
KARNATAKA,1
KERALA,1
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
PUDUCHERRY,0
GOA,0
CHHATTISGARH,0
GUJARAT,0
TELANGANA,0
MIZORAM,0
MEGHALAYA,0
JAMMU AND KASHMIR,0
DAMAN AND DIU,0
CHANDIGARH,0
ARUNACHAL PRADESH,0
NAGALAND,0
HARYANA,0
MANIPUR,0
TRIPURA,0
SIKKIM,0
LAKSHADWEEP,0
