State,count
GUJARAT,8
MAHARASHTRA,6
PUNJAB,5
UTTAR PRADESH,4
MADHYA PRADESH,2
DELHI,2
RAJASTHAN,2
MEGHALAYA,2
JAMMU & KASHMIR,1
UTTARAKHAND,1
SIKKIM,1
TAMIL NADU,1
BIHAR,1
CHHATTISGARH,1
TRIPURA,1
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
PUDUCHERRY,0
ASSAM,0
GOA,0
ODISHA,0
JHARKHAND,0
KARNATAKA,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
KERALA,0
ANDHRA PRADESH,0
DAMAN AND DIU,0
CHANDIGARH,0
TELANGANA,0
NAGALAND,0
HARYANA,0
MANIPUR,0
ARUNACHAL PRADESH,0
WEST BENGAL,0
JAMMU AND KASHMIR,0
LAKSHADWEEP,0
