State,count
RAJASTHAN,63
CHHATTISGARH,13
DELHI,12
BIHAR,10
HARYANA,9
UTTAR PRADESH,7
UTTARAKHAND,6
GUJARAT,4
KARNATAKA,4
WEST BENGAL,2
ASSAM,0
GOA,0
PUDUCHERRY,0
CHANDIGARH,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
HIMACHAL PRADESH,0
KERALA,0
ANDAMAN AND NICOBAR ISLANDS,0
DAMAN AND DIU,0
TAMIL NADU,0
LAKSHADWEEP,0
NAGALAND,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
MAHARASHTRA,0
ANDHRA PRADESH,0
PUNJAB,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
TELANGANA,0
JHARKHAND,0
ODISHA,0
MADHYA PRADESH,0
