State,count
GUJARAT,17
MAHARASHTRA,9
HIMACHAL PRADESH,4
ASSAM,2
RAJASTHAN,1
TELANGANA,1
DELHI,1
TAMIL NADU,0
JAMMU & KASHMIR,0
CHANDIGARH,0
DAMAN AND DIU,0
KERALA,0
UTTAR PRADESH,0
DADRA AND NAGAR HAVELI,0
MIZORAM,0
NAGALAND,0
GOA,0
PUDUCHERRY,0
ANDAMAN AND NICOBAR ISLANDS,0
UTTARAKHAND,0
LAKSHADWEEP,0
HARYANA,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
PUNJAB,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
CHHATTISGARH,0
KARNATAKA,0
JHARKHAND,0
ODISHA,0
MADHYA PRADESH,0
