State,count
DELHI,32
GUJARAT,25
ANDHRA PRADESH,20
WEST BENGAL,18
MAHARASHTRA,16
KARNATAKA,15
MADHYA PRADESH,14
UTTAR PRADESH,14
BIHAR,13
PUNJAB,12
TAMIL NADU,11
TELANGANA,11
UTTARAKHAND,10
ASSAM,9
RAJASTHAN,9
GOA,7
ODISHA,7
HARYANA,5
KERALA,4
TRIPURA,4
CHHATTISGARH,4
HIMACHAL PRADESH,3
JHARKHAND,2
JAMMU & KASHMIR,2
MEGHALAYA,2
CHANDIGARH,2
DAMAN AND DIU,0
DADRA AND NAGAR HAVELI,0
MIZORAM,0
NAGALAND,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
PUDUCHERRY,0
ARUNACHAL PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
LAKSHADWEEP,0
