State,count
GUJARAT,104
MAHARASHTRA,27
RAJASTHAN,16
ODISHA,9
DELHI,8
GOA,7
KERALA,7
TAMIL NADU,5
CHHATTISGARH,4
KARNATAKA,4
PUNJAB,3
ANDHRA PRADESH,2
JHARKHAND,1
HIMACHAL PRADESH,0
PUDUCHERRY,0
ASSAM,0
ANDAMAN AND NICOBAR ISLANDS,0
DAMAN AND DIU,0
UTTAR PRADESH,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
LAKSHADWEEP,0
CHANDIGARH,0
UTTARAKHAND,0
NAGALAND,0
HARYANA,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
TELANGANA,0
MADHYA PRADESH,0
