State,count
DELHI,62
GUJARAT,31
HARYANA,27
RAJASTHAN,1
UTTAR PRADESH,1
KARNATAKA,1
PUDUCHERRY,0
ASSAM,0
GOA,0
HIMACHAL PRADESH,0
NAGALAND,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
KERALA,0
DAMAN AND DIU,0
CHANDIGARH,0
ANDAMAN AND NICOBAR ISLANDS,0
UTTARAKHAND,0
TAMIL NADU,0
LAKSHADWEEP,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
MAHARASHTRA,0
ANDHRA PRADESH,0
PUNJAB,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
TELANGANA,0
CHHATTISGARH,0
JHARKHAND,0
ODISHA,0
MADHYA PRADESH,0
