State,count
GUJARAT,114
MAHARASHTRA,29
ODISHA,23
KARNATAKA,16
GOA,15
RAJASTHAN,13
CHHATTISGARH,12
KERALA,11
TAMIL NADU,7
JHARKHAND,6
DELHI,4
ANDHRA PRADESH,2
MADHYA PRADESH,2
PUNJAB,1
HIMACHAL PRADESH,1
HARYANA,1
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
PUDUCHERRY,0
ASSAM,0
TELANGANA,0
ARUNACHAL PRADESH,0
WEST BENGAL,0
UTTAR PRADESH,0
MIZORAM,0
JAMMU & KASHMIR,0
BIHAR,0
TRIPURA,0
DAMAN AND DIU,0
CHANDIGARH,0
UTTARAKHAND,0
NAGALAND,0
MANIPUR,0
MEGHALAYA,0
SIKKIM,0
JAMMU AND KASHMIR,0
LAKSHADWEEP,0
