State,count
PUNJAB,16
MAHARASHTRA,11
WEST BENGAL,8
KERALA,8
BIHAR,8
DELHI,8
TAMIL NADU,7
ASSAM,7
ODISHA,7
RAJASTHAN,6
KARNATAKA,6
SIKKIM,6
GUJARAT,5
TELANGANA,5
UTTAR PRADESH,4
CHANDIGARH,4
MANIPUR,3
MADHYA PRADESH,3
ANDHRA PRADESH,3
JHARKHAND,3
NAGALAND,2
MEGHALAYA,2
HARYANA,2
JAMMU AND KASHMIR,1
ARUNACHAL PRADESH,1
HIMACHAL PRADESH,1
PUDUCHERRY,1
GOA,1
CHHATTISGARH,1
MIZORAM,1
TRIPURA,1
JAMMU & KASHMIR,1
UTTARAKHAND,1
DADRA AND NAGAR HAVELI,0
DAMAN AND DIU,0
ANDAMAN AND NICOBAR ISLANDS,0
LAKSHADWEEP,0
