State,count
KARNATAKA,14
TELANGANA,3
CHANDIGARH,3
TAMIL NADU,2
MAHARASHTRA,2
PUNJAB,2
DELHI,2
ARUNACHAL PRADESH,1
GUJARAT,1
JAMMU & KASHMIR,1
HARYANA,1
ASSAM,0
GOA,0
PUDUCHERRY,0
HIMACHAL PRADESH,0
UTTAR PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
KERALA,0
DAMAN AND DIU,0
LAKSHADWEEP,0
UTTARAKHAND,0
NAGALAND,0
MANIPUR,0
RAJASTHAN,0
SIKKIM,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
CHHATTISGARH,0
JHARKHAND,0
ODISHA,0
MADHYA PRADESH,0
