State,count
KERALA,101
MAHARASHTRA,91
DELHI,47
RAJASTHAN,18
UTTAR PRADESH,16
GOA,14
TAMIL NADU,13
KARNATAKA,11
ASSAM,10
GUJARAT,10
MADHYA PRADESH,10
ODISHA,9
WEST BENGAL,4
HARYANA,3
UTTARAKHAND,3
BIHAR,3
ANDHRA PRADESH,2
JHARKHAND,2
PUNJAB,2
CHHATTISGARH,2
SIKKIM,1
HIMACHAL PRADESH,1
CHANDIGARH,1
JAMMU & KASHMIR,1
TELANGANA,1
ARUNACHAL PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
PUDUCHERRY,0
DADRA AND NAGAR HAVELI,0
MIZORAM,0
TRIPURA,0
DAMAN AND DIU,0
MEGHALAYA,0
NAGALAND,0
JAMMU AND KASHMIR,0
MANIPUR,0
LAKSHADWEEP,0
