State,count
MAHARASHTRA,14
KARNATAKA,2
CHHATTISGARH,2
RAJASTHAN,2
GUJARAT,2
HARYANA,1
TELANGANA,1
UTTAR PRADESH,1
TAMIL NADU,0
MIZORAM,0
KERALA,0
JAMMU & KASHMIR,0
DADRA AND NAGAR HAVELI,0
DELHI,0
CHANDIGARH,0
GOA,0
ASSAM,0
PUDUCHERRY,0
HIMACHAL PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
DAMAN AND DIU,0
LAKSHADWEEP,0
UTTARAKHAND,0
NAGALAND,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
PUNJAB,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
JHARKHAND,0
ODISHA,0
MADHYA PRADESH,0
