State,count
DELHI,11
MAHARASHTRA,6
TAMIL NADU,4
ASSAM,4
GUJARAT,4
CHANDIGARH,3
RAJASTHAN,3
KARNATAKA,3
CHHATTISGARH,3
GOA,2
JHARKHAND,2
ODISHA,2
PUDUCHERRY,1
HIMACHAL PRADESH,1
WEST BENGAL,1
TELANGANA,1
UTTAR PRADESH,1
MANIPUR,1
HARYANA,1
UTTARAKHAND,1
JAMMU & KASHMIR,0
ANDAMAN AND NICOBAR ISLANDS,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
LAKSHADWEEP,0
KERALA,0
DAMAN AND DIU,0
NAGALAND,0
SIKKIM,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
PUNJAB,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
MADHYA PRADESH,0
