State,count
DELHI,49
UTTAR PRADESH,12
BIHAR,9
WEST BENGAL,5
ASSAM,5
MAHARASHTRA,4
TAMIL NADU,4
JHARKHAND,4
KARNATAKA,3
RAJASTHAN,3
GUJARAT,2
ODISHA,2
TELANGANA,1
ANDHRA PRADESH,1
NAGALAND,1
HIMACHAL PRADESH,0
PUDUCHERRY,0
ANDAMAN AND NICOBAR ISLANDS,0
KERALA,0
GOA,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
LAKSHADWEEP,0
DAMAN AND DIU,0
CHANDIGARH,0
UTTARAKHAND,0
HARYANA,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
PUNJAB,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
CHHATTISGARH,0
MADHYA PRADESH,0
