State,count
ODISHA,69
JHARKHAND,47
DELHI,10
MAHARASHTRA,9
WEST BENGAL,8
GOA,6
MADHYA PRADESH,3
BIHAR,3
GUJARAT,2
CHANDIGARH,2
ANDHRA PRADESH,1
ASSAM,1
KERALA,1
TAMIL NADU,1
PUNJAB,1
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
PUDUCHERRY,0
KARNATAKA,0
CHHATTISGARH,0
TELANGANA,0
ARUNACHAL PRADESH,0
UTTAR PRADESH,0
MIZORAM,0
JAMMU & KASHMIR,0
JAMMU AND KASHMIR,0
TRIPURA,0
DAMAN AND DIU,0
MEGHALAYA,0
UTTARAKHAND,0
NAGALAND,0
HARYANA,0
MANIPUR,0
RAJASTHAN,0
SIKKIM,0
LAKSHADWEEP,0
