State,count
DELHI,54
HARYANA,28
GOA,15
PUNJAB,13
UTTAR PRADESH,10
MADHYA PRADESH,10
RAJASTHAN,10
ASSAM,9
JHARKHAND,8
ODISHA,7
BIHAR,6
TAMIL NADU,6
CHHATTISGARH,6
MIZORAM,5
WEST BENGAL,5
MAHARASHTRA,5
HIMACHAL PRADESH,3
CHANDIGARH,3
NAGALAND,3
SIKKIM,2
ANDHRA PRADESH,2
TRIPURA,2
JAMMU & KASHMIR,2
MEGHALAYA,2
MANIPUR,2
JAMMU AND KASHMIR,2
GUJARAT,1
KARNATAKA,1
ARUNACHAL PRADESH,1
KERALA,1
LAKSHADWEEP,0
TELANGANA,0
DAMAN AND DIU,0
UTTARAKHAND,0
DADRA AND NAGAR HAVELI,0
PUDUCHERRY,0
ANDAMAN AND NICOBAR ISLANDS,0
