State,count
KARNATAKA,21
MAHARASHTRA,10
WEST BENGAL,7
TAMIL NADU,7
BIHAR,5
ASSAM,4
GUJARAT,3
ODISHA,2
UTTARAKHAND,2
DELHI,2
MADHYA PRADESH,1
RAJASTHAN,1
KERALA,1
GOA,1
ANDHRA PRADESH,1
TELANGANA,1
DAMAN AND DIU,0
HIMACHAL PRADESH,0
ARUNACHAL PRADESH,0
HARYANA,0
PUDUCHERRY,0
CHANDIGARH,0
MIZORAM,0
TRIPURA,0
NAGALAND,0
JAMMU & KASHMIR,0
MEGHALAYA,0
LAKSHADWEEP,0
SIKKIM,0
PUNJAB,0
JHARKHAND,0
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU AND KASHMIR,0
CHHATTISGARH,0
MANIPUR,0
UTTAR PRADESH,0
