State,count
MAHARASHTRA,8
GUJARAT,2
RAJASTHAN,2
WEST BENGAL,2
KARNATAKA,2
DELHI,1
TAMIL NADU,1
GOA,1
KERALA,1
PUNJAB,0
BIHAR,0
MADHYA PRADESH,0
ASSAM,0
ARUNACHAL PRADESH,0
PUDUCHERRY,0
CHANDIGARH,0
MIZORAM,0
UTTARAKHAND,0
ANDHRA PRADESH,0
JAMMU & KASHMIR,0
HIMACHAL PRADESH,0
MEGHALAYA,0
SIKKIM,0
HARYANA,0
JHARKHAND,0
TRIPURA,0
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU AND KASHMIR,0
CHHATTISGARH,0
MANIPUR,0
ODISHA,0
LAKSHADWEEP,0
DAMAN AND DIU,0
NAGALAND,0
TELANGANA,0
UTTAR PRADESH,0
