State,count
GOA,24
DELHI,23
GUJARAT,20
ANDHRA PRADESH,19
UTTAR PRADESH,17
MADHYA PRADESH,16
BIHAR,15
WEST BENGAL,15
MAHARASHTRA,13
KARNATAKA,12
PUNJAB,11
TAMIL NADU,11
TELANGANA,10
ASSAM,8
RAJASTHAN,8
UTTARAKHAND,7
HARYANA,4
JAMMU & KASHMIR,3
HIMACHAL PRADESH,3
TRIPURA,3
KERALA,3
ODISHA,3
CHHATTISGARH,2
JHARKHAND,1
ARUNACHAL PRADESH,1
MEGHALAYA,1
CHANDIGARH,0
DAMAN AND DIU,0
LAKSHADWEEP,0
PUDUCHERRY,0
DADRA AND NAGAR HAVELI,0
MIZORAM,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU AND KASHMIR,0
SIKKIM,0
NAGALAND,0
MANIPUR,0
