State,count
MAHARASHTRA,2
DELHI,2
TELANGANA,1
MADHYA PRADESH,1
ODISHA,1
GOA,1
UTTAR PRADESH,1
NAGALAND,0
BIHAR,0
ARUNACHAL PRADESH,0
ASSAM,0
RAJASTHAN,0
PUDUCHERRY,0
CHANDIGARH,0
MIZORAM,0
UTTARAKHAND,0
WEST BENGAL,0
JAMMU & KASHMIR,0
HIMACHAL PRADESH,0
MEGHALAYA,0
SIKKIM,0
ANDHRA PRADESH,0
JHARKHAND,0
TAMIL NADU,0
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU AND KASHMIR,0
CHHATTISGARH,0
MANIPUR,0
HARYANA,0
LAKSHADWEEP,0
DAMAN AND DIU,0
TRIPURA,0
KARNATAKA,0
GUJARAT,0
PUNJAB,0
KERALA,0
