State,count
GOA,29
KARNATAKA,18
DELHI,7
TAMIL NADU,6
MAHARASHTRA,5
UTTARAKHAND,5
NAGALAND,4
GUJARAT,4
ODISHA,2
MADHYA PRADESH,2
ASSAM,2
RAJASTHAN,2
WEST BENGAL,2
HIMACHAL PRADESH,2
MEGHALAYA,2
KERALA,2
TELANGANA,2
MANIPUR,1
ARUNACHAL PRADESH,1
HARYANA,1
CHANDIGARH,1
MIZORAM,1
TRIPURA,1
BIHAR,1
CHHATTISGARH,1
PUNJAB,1
SIKKIM,1
JHARKHAND,1
ANDAMAN AND NICOBAR ISLANDS,1
UTTAR PRADESH,1
JAMMU & KASHMIR,0
DAMAN AND DIU,0
LAKSHADWEEP,0
DADRA AND NAGAR HAVELI,0
PUDUCHERRY,0
ANDHRA PRADESH,0
JAMMU AND KASHMIR,0
