State,count
MAHARASHTRA,6
MADHYA PRADESH,6
ASSAM,6
GOA,6
DELHI,5
ANDHRA PRADESH,4
UTTARAKHAND,4
TELANGANA,4
TAMIL NADU,3
HIMACHAL PRADESH,3
GUJARAT,3
MEGHALAYA,3
JAMMU & KASHMIR,2
SIKKIM,2
MIZORAM,1
WEST BENGAL,1
UTTAR PRADESH,1
BIHAR,1
NAGALAND,1
MANIPUR,1
PUNJAB,1
KARNATAKA,1
ARUNACHAL PRADESH,0
HARYANA,0
RAJASTHAN,0
PUDUCHERRY,0
CHANDIGARH,0
TRIPURA,0
CHHATTISGARH,0
JAMMU AND KASHMIR,0
DAMAN AND DIU,0
LAKSHADWEEP,0
ODISHA,0
JHARKHAND,0
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
KERALA,0
