State,count
DELHI,60
GUJARAT,50
ODISHA,37
ASSAM,35
HARYANA,20
UTTAR PRADESH,14
BIHAR,11
WEST BENGAL,6
MAHARASHTRA,6
PUNJAB,5
GOA,5
ANDHRA PRADESH,5
TAMIL NADU,3
RAJASTHAN,3
PUDUCHERRY,3
KARNATAKA,2
CHANDIGARH,2
CHHATTISGARH,2
ARUNACHAL PRADESH,1
JHARKHAND,1
TRIPURA,1
ANDAMAN AND NICOBAR ISLANDS,1
JAMMU AND KASHMIR,1
TELANGANA,1
DADRA AND NAGAR HAVELI,0
NAGALAND,0
SIKKIM,0
MEGHALAYA,0
HIMACHAL PRADESH,0
JAMMU & KASHMIR,0
UTTARAKHAND,0
MIZORAM,0
MANIPUR,0
LAKSHADWEEP,0
DAMAN AND DIU,0
MADHYA PRADESH,0
KERALA,0
