State,count
MAHARASHTRA,41
DELHI,29
GUJARAT,23
TAMIL NADU,17
RAJASTHAN,14
GOA,14
ANDHRA PRADESH,13
KARNATAKA,12
TELANGANA,12
JHARKHAND,10
UTTAR PRADESH,10
WEST BENGAL,8
PUNJAB,7
BIHAR,7
MADHYA PRADESH,7
CHANDIGARH,5
ODISHA,5
KERALA,4
HARYANA,3
PUDUCHERRY,3
UTTARAKHAND,3
JAMMU & KASHMIR,2
HIMACHAL PRADESH,2
ASSAM,1
TRIPURA,1
CHHATTISGARH,1
MEGHALAYA,1
LAKSHADWEEP,0
DAMAN AND DIU,0
ARUNACHAL PRADESH,0
JAMMU AND KASHMIR,0
MIZORAM,0
MANIPUR,0
ANDAMAN AND NICOBAR ISLANDS,0
NAGALAND,0
DADRA AND NAGAR HAVELI,0
SIKKIM,0
