State,count
PUNJAB,15
MAHARASHTRA,8
BIHAR,6
WEST BENGAL,6
DELHI,6
TAMIL NADU,6
KERALA,6
KARNATAKA,5
ASSAM,5
ODISHA,5
UTTAR PRADESH,4
RAJASTHAN,4
SIKKIM,4
GUJARAT,3
TELANGANA,3
GOA,3
CHANDIGARH,3
MADHYA PRADESH,2
ANDHRA PRADESH,2
JHARKHAND,2
NAGALAND,1
JAMMU AND KASHMIR,1
MEGHALAYA,1
HARYANA,1
MANIPUR,1
MIZORAM,0
TRIPURA,0
DAMAN AND DIU,0
LAKSHADWEEP,0
PUDUCHERRY,0
DADRA AND NAGAR HAVELI,0
UTTARAKHAND,0
JAMMU & KASHMIR,0
HIMACHAL PRADESH,0
CHHATTISGARH,0
ANDAMAN AND NICOBAR ISLANDS,0
ARUNACHAL PRADESH,0
