State,count
GUJARAT,13
MAHARASHTRA,10
GOA,3
TELANGANA,2
DELHI,2
HIMACHAL PRADESH,2
ASSAM,2
WEST BENGAL,1
RAJASTHAN,1
BIHAR,1
SIKKIM,0
MEGHALAYA,0
JAMMU & KASHMIR,0
MADHYA PRADESH,0
TAMIL NADU,0
UTTARAKHAND,0
MIZORAM,0
CHANDIGARH,0
PUDUCHERRY,0
JHARKHAND,0
UTTAR PRADESH,0
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU AND KASHMIR,0
CHHATTISGARH,0
MANIPUR,0
ODISHA,0
LAKSHADWEEP,0
DAMAN AND DIU,0
PUNJAB,0
NAGALAND,0
KARNATAKA,0
TRIPURA,0
HARYANA,0
ANDHRA PRADESH,0
ARUNACHAL PRADESH,0
KERALA,0
