State,count
KARNATAKA,79
MAHARASHTRA,62
JHARKHAND,13
GOA,12
TAMIL NADU,7
ODISHA,7
WEST BENGAL,6
GUJARAT,5
DELHI,4
CHHATTISGARH,3
PUNJAB,2
UTTARAKHAND,1
CHANDIGARH,1
HARYANA,1
SIKKIM,0
MEGHALAYA,0
HIMACHAL PRADESH,0
ASSAM,0
JAMMU & KASHMIR,0
PUDUCHERRY,0
MADHYA PRADESH,0
RAJASTHAN,0
MIZORAM,0
UTTAR PRADESH,0
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU AND KASHMIR,0
MANIPUR,0
LAKSHADWEEP,0
DAMAN AND DIU,0
TELANGANA,0
BIHAR,0
NAGALAND,0
TRIPURA,0
ANDHRA PRADESH,0
ARUNACHAL PRADESH,0
KERALA,0
