State,count
GOA,15
MAHARASHTRA,7
ASSAM,6
HIMACHAL PRADESH,3
DELHI,3
UTTAR PRADESH,3
KARNATAKA,2
DADRA AND NAGAR HAVELI,2
MADHYA PRADESH,2
PUNJAB,2
PUDUCHERRY,1
UTTARAKHAND,1
WEST BENGAL,1
ANDHRA PRADESH,1
TAMIL NADU,1
KERALA,1
BIHAR,1
MANIPUR,0
ARUNACHAL PRADESH,0
RAJASTHAN,0
GUJARAT,0
CHANDIGARH,0
MIZORAM,0
TELANGANA,0
TRIPURA,0
JAMMU & KASHMIR,0
ODISHA,0
MEGHALAYA,0
SIKKIM,0
HARYANA,0
JHARKHAND,0
NAGALAND,0
LAKSHADWEEP,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU AND KASHMIR,0
CHHATTISGARH,0
DAMAN AND DIU,0
