State,count
DELHI,76
BIHAR,39
ODISHA,36
HARYANA,21
MAHARASHTRA,19
ASSAM,17
CHHATTISGARH,13
WEST BENGAL,13
ANDHRA PRADESH,13
JHARKHAND,12
TAMIL NADU,10
KARNATAKA,10
SIKKIM,10
RAJASTHAN,8
GUJARAT,8
TRIPURA,6
JAMMU AND KASHMIR,5
PUNJAB,5
HIMACHAL PRADESH,5
MADHYA PRADESH,4
TELANGANA,4
UTTAR PRADESH,3
MANIPUR,3
PUDUCHERRY,3
KERALA,3
ARUNACHAL PRADESH,3
GOA,2
MEGHALAYA,2
NAGALAND,2
UTTARAKHAND,2
MIZORAM,2
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
DAMAN AND DIU,0
CHANDIGARH,0
ANDAMAN AND NICOBAR ISLANDS,0
LAKSHADWEEP,0
