State,count
DELHI,29
KARNATAKA,6
PUNJAB,6
GOA,4
HARYANA,4
MAHARASHTRA,4
TAMIL NADU,3
UTTARAKHAND,3
HIMACHAL PRADESH,2
TELANGANA,1
UTTAR PRADESH,1
RAJASTHAN,1
BIHAR,1
ASSAM,0
GUJARAT,0
DAMAN AND DIU,0
PUDUCHERRY,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
ANDAMAN AND NICOBAR ISLANDS,0
KERALA,0
LAKSHADWEEP,0
CHANDIGARH,0
NAGALAND,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
CHHATTISGARH,0
JHARKHAND,0
ODISHA,0
MADHYA PRADESH,0
