State,count
DELHI,150
BIHAR,69
UTTAR PRADESH,27
KERALA,25
MADHYA PRADESH,19
JHARKHAND,16
ODISHA,15
ANDHRA PRADESH,15
GUJARAT,14
WEST BENGAL,14
HARYANA,13
MAHARASHTRA,13
RAJASTHAN,12
ASSAM,8
UTTARAKHAND,7
TAMIL NADU,7
PUNJAB,7
HIMACHAL PRADESH,6
CHHATTISGARH,6
SIKKIM,4
JAMMU AND KASHMIR,4
TELANGANA,3
KARNATAKA,3
GOA,1
TRIPURA,1
JAMMU & KASHMIR,1
ANDAMAN AND NICOBAR ISLANDS,0
PUDUCHERRY,0
DADRA AND NAGAR HAVELI,0
ARUNACHAL PRADESH,0
MIZORAM,0
DAMAN AND DIU,0
CHANDIGARH,0
MEGHALAYA,0
NAGALAND,0
MANIPUR,0
LAKSHADWEEP,0
