State,count
RAJASTHAN,62
BIHAR,32
DELHI,17
CHHATTISGARH,16
HARYANA,15
UTTARAKHAND,10
UTTAR PRADESH,8
GUJARAT,4
PUNJAB,3
KERALA,1
JAMMU & KASHMIR,1
MADHYA PRADESH,1
WEST BENGAL,1
HIMACHAL PRADESH,1
ODISHA,1
CHANDIGARH,1
DAMAN AND DIU,0
GOA,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
ASSAM,0
PUDUCHERRY,0
ANDAMAN AND NICOBAR ISLANDS,0
TAMIL NADU,0
NAGALAND,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
MAHARASHTRA,0
ANDHRA PRADESH,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
TELANGANA,0
KARNATAKA,0
JHARKHAND,0
LAKSHADWEEP,0
