State,count
GUJARAT,37
DELHI,33
MAHARASHTRA,27
TAMIL NADU,23
PUNJAB,23
KARNATAKA,17
RAJASTHAN,16
MADHYA PRADESH,15
ANDHRA PRADESH,14
WEST BENGAL,11
UTTAR PRADESH,10
ODISHA,9
TELANGANA,8
UTTARAKHAND,8
CHHATTISGARH,7
JHARKHAND,7
CHANDIGARH,6
BIHAR,5
KERALA,5
PUDUCHERRY,4
ARUNACHAL PRADESH,4
HARYANA,3
GOA,2
JAMMU & KASHMIR,1
SIKKIM,0
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
ASSAM,0
MEGHALAYA,0
MIZORAM,0
MANIPUR,0
DADRA AND NAGAR HAVELI,0
DAMAN AND DIU,0
TRIPURA,0
JAMMU AND KASHMIR,0
NAGALAND,0
LAKSHADWEEP,0
