State,count
MAHARASHTRA,29
GUJARAT,17
HARYANA,14
TAMIL NADU,11
UTTAR PRADESH,9
ANDHRA PRADESH,7
DELHI,4
TELANGANA,4
KERALA,3
PUNJAB,3
KARNATAKA,3
CHANDIGARH,2
WEST BENGAL,1
RAJASTHAN,1
ODISHA,1
JAMMU & KASHMIR,1
PUDUCHERRY,0
ASSAM,0
GOA,0
HIMACHAL PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
LAKSHADWEEP,0
DAMAN AND DIU,0
UTTARAKHAND,0
NAGALAND,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
CHHATTISGARH,0
JHARKHAND,0
MADHYA PRADESH,0
