State,count
KARNATAKA,45
MAHARASHTRA,32
JHARKHAND,14
TAMIL NADU,6
ODISHA,5
WEST BENGAL,4
GUJARAT,2
PUNJAB,2
GOA,2
KERALA,1
DELHI,1
CHHATTISGARH,1
UTTAR PRADESH,1
HARYANA,1
UTTARAKHAND,1
CHANDIGARH,1
PUDUCHERRY,0
ASSAM,0
HIMACHAL PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
LAKSHADWEEP,0
DAMAN AND DIU,0
NAGALAND,0
MANIPUR,0
RAJASTHAN,0
SIKKIM,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
TELANGANA,0
MADHYA PRADESH,0
