State,count
GOA,247
KARNATAKA,36
RAJASTHAN,26
ODISHA,24
DELHI,16
GUJARAT,16
TAMIL NADU,8
PUNJAB,8
CHHATTISGARH,6
JHARKHAND,3
MAHARASHTRA,2
MADHYA PRADESH,2
WEST BENGAL,1
UTTARAKHAND,1
DADRA AND NAGAR HAVELI,1
BIHAR,0
JAMMU & KASHMIR,0
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
PUDUCHERRY,0
ASSAM,0
TELANGANA,0
ARUNACHAL PRADESH,0
UTTAR PRADESH,0
MIZORAM,0
KERALA,0
ANDHRA PRADESH,0
DAMAN AND DIU,0
CHANDIGARH,0
NAGALAND,0
HARYANA,0
MANIPUR,0
TRIPURA,0
SIKKIM,0
JAMMU AND KASHMIR,0
MEGHALAYA,0
LAKSHADWEEP,0
