State,count
DELHI,24
ANDHRA PRADESH,6
RAJASTHAN,6
CHHATTISGARH,5
TELANGANA,5
MIZORAM,4
MEGHALAYA,4
UTTARAKHAND,4
MAHARASHTRA,4
CHANDIGARH,4
NAGALAND,4
ARUNACHAL PRADESH,4
KERALA,2
PUNJAB,2
UTTAR PRADESH,2
GUJARAT,2
TAMIL NADU,2
MADHYA PRADESH,1
WEST BENGAL,1
BIHAR,1
ODISHA,1
JHARKHAND,1
KARNATAKA,0
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
PUDUCHERRY,0
ASSAM,0
GOA,0
MANIPUR,0
HARYANA,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
TRIPURA,0
DAMAN AND DIU,0
JAMMU AND KASHMIR,0
SIKKIM,0
LAKSHADWEEP,0
